,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
Petroleum and coal products,11073,562,8984,4488,2279,40640,75453,801,735,1585,835,1150,98,1794,644,144,299,765,3714,115,46,1688,1067,26368,12300,1022,8488,1413,917,212,3466,21974,9067,3018,41360,2145,117,23195,263,389,194,977,699,6014,8349,70,766,349,10616,2999,81,1210,3109,2101,9722,1947,986,1066,4769,833,931,150,1322,1309,5589,4371,14423,1005,2793,124104,19397,546920,368890,---,---,---,---,-3840,128022,---,---,---,---,---,---,---,---,---,---,---,---,1039993
Chemical products,43619,2999,11890,3133,1184,3554,25115,2175,5696,1891,8739,4099,1338,2582,10559,1417,1788,6674,11373,10923,468,13652,6522,15515,239495,69192,4663,355,263,114,4278,1,287,4,251,9,1,218,2795,533,294,883,1832,68,455,59,---,737,17854,504,536,224,36088,2099,15367,1437,1320,60664,29586,5334,1345,780,1055,124,1773,5128,2555,2806,104,53495,3591,767461,770724,3054,---,---,---,-4600,227671,---,---,---,---,---,---,---,---,---,---,---,---,1764311
Plastics and rubber products,2226,122,178,959,595,40,59653,767,1614,660,3197,7554,679,2024,34497,3005,5607,5957,26275,479,436,4108,879,682,14178,20671,20580,3665,3115,603,10718,35,8,0,711,30,39,3671,710,449,231,5457,1148,57,164,532,0,914,1422,1960,74,813,9030,233,3011,462,1088,11004,5179,1880,1017,43,246,197,10754,5472,1725,751,18,15892,2882,325029,88875,619,---,252,---,1204,31200,---,---,---,---,---,1,---,---,---,---,---,---,447180
Wholesale trade,1373,23,92,103,---,1637,114,315,453,1350,1343,4321,449,1584,768,74,403,2626,4352,283,78,1393,115,184,3862,1900,56193,2649,511,22,27620,171,---,---,143,---,3,---,---,1168,32,1849,---,5,36,46,3,---,---,11256,---,116,---,---,144,104,58,390,163,---,---,---,108,---,61,40,---,---,0,42,---,132127,---,---,---,---,---,---,2805,---,---,---,---,---,---,---,---,---,---,---,---,134933
Motor vehicle and parts dealers,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Food and beverage stores,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
General merchandise stores,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Other retail,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1856,---,834,1304,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,19,---,---,---,---,---,4012,10275,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14288
Air transportation,---,---,4,13,108,660,195,76,158,100,289,201,14,17,118,84,69,131,376,21,13,103,140,143,162,216,4351,81,41,62,516,203,16,200,1265,13,9,1217,60,446,303,1015,1875,1113,2512,348,192,30,5746,721,937,1385,4478,256,6244,411,403,1925,264,233,383,86,237,131,871,764,1829,1373,316,2428,50,50751,120109,---,---,---,---,---,20604,---,---,---,---,---,---,---,---,---,---,---,---,191464
Rail transportation,---,---,---,---,---,103,0,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,1,---,---,---,43,5,6,---,29,---,99,---,3762,---,13,392,27,---,---,82,1,5,7,90,---,---,---,19,26,8,237,1,98,---,---,6,11,---,---,---,---,---,---,16,97,49,357,374,---,5962,777,---,---,---,---,---,1386,---,---,---,---,---,---,---,---,---,---,---,---,8125
Water transportation,---,---,---,---,---,0,0,---,---,---,---,0,---,---,---,---,---,---,---,---,---,---,---,---,0,---,514,0,---,---,---,---,---,---,---,---,12,---,---,---,---,0,---,---,---,---,---,---,---,0,---,---,252,37,0,0,78,0,16,---,0,0,---,---,---,0,1667,124,431,281,---,3413,11156,---,---,---,---,---,4761,---,---,---,---,---,---,---,---,---,---,---,---,19330
Truck transportation,172,---,---,---,78,---,---,159,70,142,525,153,112,24,145,35,82,170,110,56,26,171,79,659,109,247,4435,1253,1143,1250,5473,804,163,53,4908,33,29,3366,129,141,95,6,481,---,---,32,3,---,---,151,106,47,2071,5,399,66,30,151,234,27,83,19,4,14,168,284,1482,27,224,459,28,33198,15652,---,---,---,---,---,1733,---,---,---,---,---,---,---,---,---,---,---,---,50582
Transit and ground passenger transportation,---,3,2,5,39,1088,504,30,65,42,117,84,6,7,51,33,27,68,152,7,5,42,54,57,68,85,630,40,5,15,113,1,463,---,---,---,3,149,6,198,109,908,1071,647,1133,851,80,161,2854,520,637,748,4618,129,3718,163,289,1520,1725,611,138,1671,65,79,465,388,15,3,9,16327,440,46354,33405,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,79759
Pipeline transportation,---,---,482,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,482,---,---,---,---,---,---,304,---,---,---,---,---,---,---,---,---,---,---,---,786
